Subj,Trial,vWTP,MarketChange,AbsMarketChange,Val_1up,group_0placebo
1,1,0,0.066160981,0.066160981,1,0
1,3,0,0.82412847,0.82412847,1,0
1,4,0,3.732726993,3.732726993,1,0
1,6,-1,1.40586448,1.40586448,1,0
1,8,0,3.00816387,3.00816387,1,0
1,9,0,3.649690142,3.649690142,1,0
1,10,0,6.569659047,6.569659047,1,0
1,11,0,7.056081483,7.056081483,1,0
1,12,0,4.034892648,4.034892648,1,0
1,18,0,3.205372352,3.205372352,1,0
1,19,0,7.163297718,7.163297718,1,0
1,20,0,4.111558395,4.111558395,1,0
1,21,0,3.103208115,3.103208115,1,0
1,22,-1,4.283736272,4.283736272,1,0
1,24,0,4.262910611,4.262910611,1,0
1,27,0,2.61917813,2.61917813,1,0
1,28,0,2.849570051,2.849570051,1,0
1,30,0,4.130184505,4.130184505,1,0
1,32,0,4.445417636,4.445417636,1,0
1,34,0,2.148042079,2.148042079,1,0
1,36,0,3.692797006,3.692797006,1,0
1,37,0,0.07596178,0.07596178,1,0
1,38,0,8.402310911,8.402310911,1,0
1,40,0,1.950241194,1.950241194,1,0
1,42,0,1.91226736,1.91226736,1,0
1,44,0,4.267217278,4.267217278,1,0
1,47,0,7.59669027,7.59669027,1,0
1,48,0,2.967426928,2.967426928,1,0
1,51,0,0.812162747,0.812162747,1,0
1,54,0,0.247622181,0.247622181,1,0
1,58,0,1.919281451,1.919281451,1,0
1,59,0,3.828004308,3.828004308,1,0
1,62,0,1.979729031,1.979729031,1,0
1,63,-1,10.46264743,10.46264743,1,0
1,65,0,0.509153043,0.509153043,1,0
1,66,0,9.457827107,9.457827107,1,0
1,69,0,5.040822121,5.040822121,1,0
1,70,0,12.80734352,12.80734352,1,0
1,71,0,5.114500867,5.114500867,1,0
1,72,0,4.19196731,4.19196731,1,0
1,73,0,0.570260897,0.570260897,1,0
1,77,0,6.500110557,6.500110557,1,0
1,81,0,4.197353353,4.197353353,1,0
1,82,0,0.455117986,0.455117986,1,0
1,85,1,1.700186629,1.700186629,1,0
1,86,0,3.36975211,3.36975211,1,0
1,87,0,3.808925276,3.808925276,1,0
1,89,0,5.180264248,5.180264248,1,0
1,90,0,7.901511213,7.901511213,1,0
1,91,0,6.589071308,6.589071308,1,0
1,92,0,5.393577392,5.393577392,1,0
1,93,0,2.192890004,2.192890004,1,0
1,94,0,1.835750118,1.835750118,1,0
1,99,-1,6.441639015,6.441639015,1,0
1,101,0,5.026321529,5.026321529,1,0
1,102,0,0.85500229,0.85500229,1,0
1,104,0,7.477537746,7.477537746,1,0
1,105,0,5.485715465,5.485715465,1,0
1,107,0,4.068528551,4.068528551,1,0
1,110,0,2.04418231,2.04418231,1,0
1,112,0,7.610348623,7.610348623,1,0
1,114,0,1.610604488,1.610604488,1,0
1,118,0,5.214557236,5.214557236,1,0
1,119,0,14.56026946,14.56026946,1,0
1,124,-1,1.354452992,1.354452992,1,0
1,126,0,7.094309909,7.094309909,1,0
1,128,-1,1.64669252,1.64669252,1,0
1,131,0,4.563280349,4.563280349,1,0
1,132,0,1.996390046,1.996390046,1,0
1,133,0,0.348428874,0.348428874,1,0
1,134,0,5.950979087,5.950979087,1,0
1,135,0,2.027518359,2.027518359,1,0
1,136,0,1.791134438,1.791134438,1,0
1,138,0,2.215281443,2.215281443,1,0
1,139,0,7.712698436,7.712698436,1,0
1,141,0,2.319022465,2.319022465,1,0
1,143,0,4.782202602,4.782202602,1,0
1,144,0,4.215563727,4.215563727,1,0
1,146,0,1.539996457,1.539996457,1,0
1,148,0,0.985078167,0.985078167,1,0
1,149,0,0.822994979,0.822994979,1,0
1,151,0,2.318096721,2.318096721,1,0
1,152,0,1.377516331,1.377516331,1,0
1,153,0,8.104989361,8.104989361,1,0
1,157,0,5.145569796,5.145569796,1,0
1,159,0,5.55343258,5.55343258,1,0
1,161,0,4.750163596,4.750163596,1,0
1,163,0,0.008740533,0.008740533,1,0
1,165,0,5.830719598,5.830719598,1,0
1,166,0,1.672705527,1.672705527,1,0
1,168,0,1.105012132,1.105012132,1,0
1,169,0,6.396274655,6.396274655,1,0
1,171,0,3.589471815,3.589471815,1,0
1,172,0,2.018719435,2.018719435,1,0
1,174,0,5.518029951,5.518029951,1,0
1,181,0,3.622360642,3.622360642,1,0
1,182,-1,4.258297752,4.258297752,1,0
1,185,1,3.949878243,3.949878243,1,0
1,190,0,2.84255725,2.84255725,1,0
1,192,0,4.597973489,4.597973489,1,0
1,195,0,1.003475385,1.003475385,1,0
1,196,0,5.569989983,5.569989983,1,0
1,197,0,5.320481964,5.320481964,1,0
1,198,0,1.831349368,1.831349368,1,0
1,200,0,1.912725735,1.912725735,1,0
2,5,0,4.306906098,4.306906098,1,0
2,6,0,4.72570687,4.72570687,1,0
2,7,0,0.253539883,0.253539883,1,0
2,9,0,5.026446005,5.026446005,1,0
2,12,0,9.318629616,9.318629616,1,0
2,14,0,0.240905443,0.240905443,1,0
2,15,0,6.543021061,6.543021061,1,0
2,17,99,11.63782543,11.63782543,1,0
2,19,0,6.998697645,6.998697645,1,0
2,20,0,5.943932218,5.943932218,1,0
2,22,0,2.726321921,2.726321921,1,0
2,25,0,6.106468448,6.106468448,1,0
2,26,0,11.90579368,11.90579368,1,0
2,27,0,1.737554356,1.737554356,1,0
2,30,0,4.123847656,4.123847656,1,0
2,31,0,6.438713337,6.438713337,1,0
2,35,0,9.05755173,9.05755173,1,0
2,37,0,1.358087227,1.358087227,1,0
2,41,0,1.571700607,1.571700607,1,0
2,43,0,0.595146158,0.595146158,1,0
2,44,1,2.756487874,2.756487874,1,0
2,47,0,2.571502457,2.571502457,1,0
2,49,0,1.012853615,1.012853615,1,0
2,52,0,5.547355743,5.547355743,1,0
2,53,0,5.654865578,5.654865578,1,0
2,54,0,4.068544386,4.068544386,1,0
2,56,0,4.023350775,4.023350775,1,0
2,58,0,3.905734193,3.905734193,1,0
2,60,0,5.112193861,5.112193861,1,0
2,61,0,10.28333748,10.28333748,1,0
2,62,0,2.429973448,2.429973448,1,0
2,63,0,1.957362407,1.957362407,1,0
2,66,0,3.358705423,3.358705423,1,0
2,68,0,6.91857911,6.91857911,1,0
2,69,0,11.25770474,11.25770474,1,0
2,71,0,0.836826548,0.836826548,1,0
2,72,0,0.809993811,0.809993811,1,0
2,73,0,1.145906735,1.145906735,1,0
2,75,0,5.022599095,5.022599095,1,0
2,79,0,0.141523604,0.141523604,1,0
2,81,0,1.762469746,1.762469746,1,0
2,82,0,6.667518514,6.667518514,1,0
2,83,0,0.789730482,0.789730482,1,0
2,84,0,1.33513068,1.33513068,1,0
2,85,0,0.747814704,0.747814704,1,0
2,88,0,2.408114258,2.408114258,1,0
2,89,0,1.317414164,1.317414164,1,0
2,90,0,2.140734958,2.140734958,1,0
2,91,0,6.768129277,6.768129277,1,0
2,92,0,1.586350183,1.586350183,1,0
2,93,0,2.193136838,2.193136838,1,0
2,97,0,4.32912669,4.32912669,1,0
2,100,0,3.713742292,3.713742292,1,0
